Item,Type,Weight (Grams),Qty.,Unit,Source,URL (Europe),Price (unit),Price (total),Part/Assembly Number,Notes
Connection bridge 15A 8P,Cable,,3,Pcs,Amazon,https://www.amazon.fr/Qishare-positions-visserie-pr%C3%A9-isol%C3%A9es-barri%C3%A8re/dp/B07TYCFKY8/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=bornier%2Ba%2Bvis%2Bbloc%2B7%2Bpositions&qid=1604612716&s=hi&sr=1-3&th=1,12.61 €,12.61,/,pack of 5 (2 leftover per machine)
"1,5mm2 single clable flexible 5 colors",Cable,,1,lot,Amazon,https://www.amazon.fr/NorthPada-%C3%A9lectrique-torons-silicone-Couleur/dp/B07ZRLC81J/ref=sr_1_16?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3QE1PLS6PCMM0&dchild=1&keywords=cable+electrique+1%2C5+souple&qid=1604589231&sprefix=cable+electrique+1%2C5%2Caps%2C1165&sr=8-16,22.99 €,22.99,/,1 lot for 2 machines
Thermoretractable ,Cable,,3,Pcs,Aliexpress,https://fr.aliexpress.com/item/4000321478614.html?spm=a2g0o.productlist.0.0.583a5bc1kAnzlP&algo_pvid=bdfec790-8ad9-4923-a525-982ef3acdcb2&algo_expid=bdfec790-8ad9-4923-a525-982ef3acdcb2-,0.79 €,2.37,/,2 yellow / 1 blue
Cable tie,Cable,,1,lot,Aliexpress,https://fr.aliexpress.com/item/4000412636730.html?spm=a2g0o.detail.1000023.2.964b4ad6q7uoAS,0.48 €,0.48,/,enough for 5 machine
M10 Allen Bolt 60mm,Fixings,585,13,pcs,Aliexpress,"https://fr.aliexpress.com/item/32919365428.html?spm=a2g0o.productlist.0.0.65906a32fvvb1s&algo_pvid=a5f09ec2-366f-4b15-b036-d23be3bc4cec&algo_expid=a5f09ec2-366f-4b15-b036-d23be3bc4cec-22&btsid=2100bb4c16046201242932679e2c7a&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,1.89,,
M10 Button Head Allen Bolt 60mm,Fixings,20,4,pcs,Aliexpress,"https://fr.aliexpress.com/item/4000027503852.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-20&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,12.88,,
M10 Button Head Allen Bolt 20mm,Fixings,40,8,pcs,Aliexpress,"https://fr.aliexpress.com/item/4000027503852.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-20&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,3.32,,
M10 Nylon Lock Nut,Fixings,42,3,pcs,Aliexpress,"https://fr.aliexpress.com/item/32895838451.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-25&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,1.87,,
M10  Nut,Fixings,308,22,pcs,Aliexpress,"https://fr.aliexpress.com/item/32799892197.html?spm=a2g0o.productlist.0.0.563d1fe57mIzY7&algo_pvid=53563196-ec92-4fef-becc-894d60863d84&algo_expid=53563196-ec92-4fef-becc-894d60863d84-8&btsid=2100bb4c16046205307644071e2c7a&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,8.04,,
M10 Washer,Fixings,250,50,pcs,Aliexpress,"https://fr.aliexpress.com/item/4001297092416.html?spm=a2g0o.productlist.0.0.389a19eeQ7ooAm&algo_pvid=18ba5d2b-5acc-44ce-8db5-4981cb31e69d&algo_expid=18ba5d2b-5acc-44ce-8db5-4981cb31e69d-1&btsid=0b0a01f816046208994052276e42c6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,5.30,,
M5 Allen Bolt 60mm,Fixings,10,2,pcs,Aliexpress,"https://fr.aliexpress.com/item/32969034133.html?spm=a2g0o.productlist.0.0.6de368c7ToDp2W&algo_pvid=92bf99ed-b8f4-45ba-96fa-198c00a1ed1b&algo_expid=92bf99ed-b8f4-45ba-96fa-198c00a1ed1b-3&btsid=2100bb4c16046204641074004e2c7a&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,3.61,,
M5 Button Head Allen Bolt 20mm,Fixings,5,7,pcs,Aliexpress,"https://fr.aliexpress.com/item/4000027503852.html?spm=a2g0o.productlist.0.0.16227be2aUeIm8&algo_pvid=bad4ec54-d627-4d83-8a71-8ff25e8ba337&algo_expid=bad4ec54-d627-4d83-8a71-8ff25e8ba337-20&btsid=2100bdd716046191697687624ec00d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",,2.08,,
